dataset,best_accuracy,mean_accuracy,best_f1,mean_f1,best_precision,mean_precision,best_recall,mean_recall,best_balanced_accuracy,mean_balanced_accuracy,LogisticRegression_accuracy,LogisticRegression_f1,LogisticRegression_precision,LogisticRegression_recall,LogisticRegression_balanced_accuracy,KNN-5_accuracy,KNN-5_f1,KNN-5_precision,KNN-5_recall,KNN-5_balanced_accuracy,KNN-3_accuracy,KNN-3_f1,KNN-3_precision,KNN-3_recall,KNN-3_balanced_accuracy,DecisionTree_accuracy,DecisionTree_f1,DecisionTree_precision,DecisionTree_recall,DecisionTree_balanced_accuracy,SVM-RBF_accuracy,SVM-RBF_f1,SVM-RBF_precision,SVM-RBF_recall,SVM-RBF_balanced_accuracy,SVM-Linear_accuracy,SVM-Linear_f1,SVM-Linear_precision,SVM-Linear_recall,SVM-Linear_balanced_accuracy,RandomForest_accuracy,RandomForest_f1,RandomForest_precision,RandomForest_recall,RandomForest_balanced_accuracy,GradientBoosting_accuracy,GradientBoosting_f1,GradientBoosting_precision,GradientBoosting_recall,GradientBoosting_balanced_accuracy,NaiveBayes_accuracy,NaiveBayes_f1,NaiveBayes_precision,NaiveBayes_recall,NaiveBayes_balanced_accuracy,MLP_accuracy,MLP_f1,MLP_precision,MLP_recall,MLP_balanced_accuracy
Gauss_sep1.0,0.7675000000000001,0.7492500000000001,0.766909717671972,0.7481611021312593,0.7696153878020986,0.7523223707491968,0.7675000000000001,0.7492500000000001,0.7675000000000001,0.7492500000000001,0.7625,0.7619848820274981,0.7642879208661295,0.7625,0.7625000000000001,0.7300000000000001,0.729495306283396,0.7311330406024018,0.7300000000000001,0.7300000000000001,0.7175,0.7164092247858627,0.7205244452680178,0.7175,0.7175,0.7275,0.724225313941718,0.7331547552345652,0.7275,0.7275,0.76,0.758103952835722,0.7661250854826436,0.76,0.7600000000000001,0.7675000000000001,0.766909717671972,0.7696153878020986,0.7675000000000001,0.7675000000000001,0.7525,0.7514638326064385,0.7564012861289017,0.7525,0.7525,0.755,0.7542709582574421,0.7575265877371687,0.755,0.755,0.7625000000000001,0.7619238455069465,0.7645457224792763,0.7625000000000001,0.7625000000000001,0.7575000000000001,0.7568239873955978,0.7599094758907654,0.7575000000000001,0.7575000000000001
Gauss_sep2.0,0.9324999999999999,0.9172499999999999,0.9324447957681358,0.9171869282330789,0.9334753728656168,0.9182372540406842,0.9324999999999999,0.9172499999999999,0.9324999999999999,0.9172499999999999,0.9324999999999999,0.9324447957681358,0.9334753728656168,0.9324999999999999,0.9324999999999999,0.9075,0.9074691255405469,0.9080651911203901,0.9075,0.9075,0.8925000000000001,0.892309119725728,0.8947017181933742,0.8925000000000001,0.8925000000000001,0.905,0.9049499040616074,0.9060587109367597,0.905,0.905,0.9225,0.922455027094226,0.9232608795033789,0.9225,0.9225,0.9275,0.9274479212564934,0.9283628025091438,0.9275,0.9275,0.9125,0.9124542457221366,0.9132577525490324,0.9125,0.9125,0.9125,0.9124464261372871,0.9133519373543854,0.9125,0.9125,0.93,0.9299467491983593,0.9309206511645535,0.93,0.9299999999999999,0.93,0.9299459678262698,0.9309175242102071,0.93,0.93
Gauss_sep4.0,0.9949999999999999,0.9934999999999998,0.9949992186279106,0.993498045983381,0.9951219512195122,0.9937049941927991,0.9949999999999999,0.9934999999999998,0.9949999999999999,0.9934999999999998,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9875,0.9874933554052623,0.9880371660859467,0.9875,0.9875,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9875,0.9874933554052623,0.9880371660859467,0.9875,0.9875,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999
Gauss_sep6.0,1.0,0.99925,1.0,0.9992498827941866,1.0,0.9992682926829268,1.0,0.99925,1.0,0.99925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9974999999999999,0.9974996093139552,0.9975609756097562,0.9974999999999999,0.9974999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9974999999999999,0.9974996093139552,0.9975609756097562,0.9974999999999999,0.9974999999999999,0.9974999999999999,0.9974996093139552,0.9975609756097562,0.9974999999999999,0.9974999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gauss_sep8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gauss_scale0.5,1.0,0.99875,1.0,0.9987498046569776,1.0,0.998780487804878,1.0,0.99875,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9974999999999999,0.9974996093139552,0.9975609756097562,0.9974999999999999,0.9974999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gauss_scale1.0,0.9949999999999999,0.9934999999999998,0.9949992186279106,0.993498045983381,0.9951219512195122,0.9937049941927991,0.9949999999999999,0.9934999999999998,0.9949999999999999,0.9934999999999998,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9875,0.9874933554052623,0.9880371660859467,0.9875,0.9875,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9875,0.9874933554052623,0.9880371660859467,0.9875,0.9875,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999
Gauss_scale2.0,0.9949999999999999,0.9845,0.9949992186279106,0.9844893502600973,0.9951219512195122,0.985023418567945,0.9949999999999999,0.9845,0.9949999999999999,0.9845,0.9875,0.9874964823596087,0.9877990708478513,0.9875,0.9875,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9875,0.9874964823596087,0.9877990708478513,0.9875,0.9875,0.9650000000000001,0.9649380745484596,0.9670278420136617,0.9650000000000001,0.9650000000000001,0.99,0.9899992186279105,0.9901219512195121,0.99,0.99,0.99,0.9899992186279105,0.9901219512195121,0.99,0.99,0.9775,0.9774847485740455,0.9783801753172146,0.9775,0.9774999999999998,0.9750000000000002,0.9749843578880009,0.9759411509269705,0.9750000000000002,0.975,0.99,0.9899992186279105,0.9901219512195121,0.99,0.99,0.9875,0.9874964823596087,0.9877990708478513,0.9875,0.9875
Gauss_scale4.0,0.9324999999999999,0.9172499999999999,0.9324447957681358,0.9171869282330789,0.9334753728656168,0.9182372540406842,0.9324999999999999,0.9172499999999999,0.9324999999999999,0.9172499999999999,0.9324999999999999,0.9324447957681358,0.9334753728656168,0.9324999999999999,0.9324999999999999,0.9075,0.9074691255405469,0.9080651911203901,0.9075,0.9075,0.8925000000000001,0.892309119725728,0.8947017181933742,0.8925000000000001,0.8925000000000001,0.905,0.9049499040616074,0.9060587109367597,0.905,0.905,0.9225,0.922455027094226,0.9232608795033789,0.9225,0.9225,0.9275,0.9274479212564934,0.9283628025091438,0.9275,0.9275,0.9125,0.9124542457221366,0.9132577525490324,0.9125,0.9125,0.9125,0.9124464261372871,0.9133519373543854,0.9125,0.9125,0.93,0.9299467491983593,0.9309206511645535,0.93,0.9299999999999999,0.93,0.9299459678262698,0.9309175242102071,0.93,0.93
Gauss_corr-0.5,1.0,0.9984999999999999,1.0,0.9984992964719218,1.0,0.9985598141695704,1.0,0.9984999999999999,1.0,0.9984999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9925,0.9924964823596089,0.9927990708478515,0.9925,0.9925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9925,0.9924964823596089,0.9927990708478515,0.9925,0.9925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gauss_corr0.0,0.9949999999999999,0.9934999999999998,0.9949992186279106,0.993498045983381,0.9951219512195122,0.9937049941927991,0.9949999999999999,0.9934999999999998,0.9949999999999999,0.9934999999999998,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9875,0.9874933554052623,0.9880371660859467,0.9875,0.9875,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9875,0.9874933554052623,0.9880371660859467,0.9875,0.9875,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999
Gauss_corr0.5,0.9949999999999999,0.9924999999999999,0.9949992186279106,0.992498827941866,0.9951219512195122,0.9926829268292682,0.9949999999999999,0.9924999999999999,0.9949999999999999,0.9924999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9924999999999999,0.992498827941866,0.9926829268292684,0.9924999999999999,0.9924999999999999,0.9875,0.9874980465697766,0.9878048780487806,0.9875,0.9875,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.99,0.9899984372558214,0.9902439024390246,0.99,0.99,0.9875,0.9874980465697766,0.9878048780487806,0.9875,0.9875,0.9925,0.992498827941866,0.9926829268292684,0.9925,0.9925,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999
Moons_noise0.05,1.0,0.9524999999999999,1.0,0.952391782640993,1.0,0.9536171410683985,1.0,0.9524999999999999,1.0,0.9524999999999999,0.8825,0.8821913689354067,0.8852789578162762,0.8825,0.8825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9650000000000001,0.9649781113195747,0.9659147869674184,0.9650000000000001,0.9650000000000001,1.0,1.0,1.0,1.0,1.0,0.8774999999999998,0.8771459009482854,0.8806021559415163,0.8774999999999998,0.8775000000000001,0.9824999999999999,0.9824988279418658,0.9825578486554096,0.9824999999999999,0.9824999999999999,0.99,0.9899968730456535,0.9902380952380951,0.99,0.99,0.8774999999999998,0.8771459009482854,0.8806021559415163,0.8774999999999998,0.8775000000000001,0.95,0.9499608432708587,0.9509774101237516,0.95,0.9499999999999998
Moons_noise0.1,1.0,0.95275,1.0,0.9526574688185269,1.0,0.9539376712491615,1.0,0.95275,1.0,0.95275,0.8825,0.8822299455375168,0.8854369204210473,0.8825,0.8825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9775,0.9774972651976871,0.9776766729205753,0.9775,0.9774999999999998,0.9974999999999999,0.9974996093139552,0.9975609756097562,0.9974999999999999,0.9974999999999999,0.885,0.8847264293631145,0.8879853882134177,0.885,0.885,0.9775,0.9774761432122585,0.9784711621920925,0.9775,0.9775,0.9875,0.9874980465697764,0.9876797998749218,0.9875,0.9875,0.885,0.8847264293631145,0.8879853882134177,0.885,0.885,0.9350000000000002,0.9349208196278461,0.9365804050463871,0.9350000000000002,0.9350000000000002
Moons_noise0.2,0.96,0.92425,0.9599757539922026,0.9241692445368999,0.9609066129202262,0.9256866091093873,0.96,0.92425,0.96,0.92425,0.8724999999999999,0.8723397623949923,0.8743194519552103,0.8724999999999999,0.8724999999999999,0.96,0.9599757539922026,0.9609066129202262,0.96,0.96,0.9549999999999998,0.9549788809465489,0.9556685176821308,0.9549999999999998,0.9549999999999998,0.95,0.9499491212545562,0.9514336271823509,0.95,0.95,0.9375,0.9374487187992507,0.9389944120290121,0.9375,0.9375,0.8775000000000001,0.8773554015646914,0.8792566307370618,0.8775000000000001,0.8775000000000001,0.9475,0.9473930398365757,0.9500375624794231,0.9475,0.9475,0.96,0.9599718383289406,0.9607657584657019,0.96,0.96,0.8775000000000001,0.877333960424971,0.8795659934325482,0.8775000000000001,0.8775000000000001,0.905,0.9049459678262698,0.9059175242102071,0.905,0.905
Moons_noise0.4,0.8600000000000001,0.8365,0.8597100085599527,0.8361427395092604,0.8628821718704394,0.839159834175217,0.8600000000000001,0.8365,0.8600000000000001,0.8365,0.845,0.8448079932234748,0.8463757501947488,0.845,0.845,0.8200000000000001,0.8193368665125915,0.8246917216235674,0.8200000000000001,0.82,0.8099999999999999,0.8090967004750329,0.8155786485074581,0.8099999999999999,0.8099999999999999,0.8275,0.8270481436663889,0.8306757456084262,0.8275,0.8275,0.8474999999999999,0.847281046338159,0.8493337291563998,0.8474999999999999,0.8474999999999999,0.835,0.8348048662691283,0.836363218866428,0.835,0.835,0.8600000000000001,0.8597100085599527,0.8628821718704394,0.8600000000000001,0.8600000000000001,0.8375,0.8370909556153396,0.841244427040631,0.8375,0.8375,0.8375,0.8374135806350989,0.8380946088415413,0.8375,0.8375,0.845,0.8448372337974392,0.8463583200425304,0.845,0.845
Circles_noise0.02,1.0,0.8517499999999998,1.0,0.8505204086035221,1.0,0.8550147959863874,1.0,0.8517499999999998,1.0,0.8517499999999998,0.45,0.4460758076908717,0.4485871928377946,0.45,0.45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8724999999999999,0.8709681049636501,0.8901119048084396,0.8724999999999999,0.8724999999999999,1.0,1.0,1.0,1.0,1.0,0.4575,0.4520802879406817,0.4554847428210483,0.4575,0.4575,0.8775000000000001,0.8763823717895166,0.8904731371574514,0.8775000000000001,0.8774999999999998,0.9525,0.952415040480991,0.9547418064747974,0.9525,0.9525,0.9075,0.9072824731695099,0.9107491757643427,0.9075,0.9075,1.0,1.0,1.0,1.0,1.0
Circles_noise0.05,0.9800000000000001,0.8157500000000001,0.9799953103014747,0.814335176081903,0.980356919503261,0.8198106148224962,0.9800000000000001,0.8157500000000001,0.9800000000000001,0.8157500000000001,0.4525,0.4486654406066874,0.45113284042628177,0.4525,0.4525,0.9574999999999999,0.9573928551282714,0.9603084129582934,0.9574999999999999,0.9574999999999999,0.9650000000000001,0.9649937460913071,0.9654761904761905,0.9650000000000001,0.9650000000000001,0.825,0.8224641173994636,0.8433652720979566,0.825,0.825,0.9800000000000001,0.9799953103014747,0.980356919503261,0.9800000000000001,0.9800000000000001,0.45499999999999996,0.44979956860752973,0.4529057615186627,0.45499999999999996,0.45499999999999996,0.8474999999999999,0.846076128512108,0.8597472137739721,0.8474999999999999,0.8475000000000001,0.885,0.8845971688792968,0.8897483289713651,0.885,0.885,0.8375,0.8368725042114725,0.8423979164414437,0.8375,0.8375,0.9525,0.9524949210814189,0.952667292057536,0.9525,0.9525
Circles_noise0.1,0.8450000000000001,0.7295,0.8448074300638455,0.7278558926798185,0.8464916332188028,0.7321596004012628,0.8450000000000001,0.7295,0.845,0.7295,0.4525,0.4480623497949184,0.450699345821297,0.4525,0.4525,0.82,0.8198369230486382,0.8211155781887488,0.82,0.82,0.8174999999999999,0.8174010419940977,0.8182965036680295,0.8174999999999999,0.8174999999999999,0.7375,0.7356000752820361,0.7427208330984139,0.7375,0.7375,0.8450000000000001,0.8448074300638455,0.8464916332188028,0.8450000000000001,0.845,0.45499999999999996,0.44963034883993175,0.45292884495705,0.45499999999999996,0.45499999999999996,0.7725000000000001,0.7704336303062931,0.7822855251118089,0.7725000000000001,0.7725000000000001,0.7975,0.7963621229691962,0.8047274894007505,0.7975,0.7975,0.7675000000000001,0.7666049210682211,0.7710424690405228,0.7675000000000001,0.7675000000000001,0.8299999999999998,0.8298200834310074,0.8312877815072042,0.8299999999999998,0.8299999999999998
Circles_noise0.2,0.7074999999999999,0.6265000000000001,0.705754148715845,0.6246136460584311,0.713154914139569,0.6278948356854895,0.7074999999999999,0.6265000000000001,0.7074999999999999,0.6265000000000001,0.46499999999999997,0.4607501967287753,0.46382116138219825,0.46499999999999997,0.46499999999999997,0.6599999999999999,0.6590024506176188,0.6619809735799788,0.6599999999999999,0.6599999999999999,0.62,0.6198280277728667,0.6201878993920071,0.62,0.62,0.675,0.6732309969038875,0.6802019646943073,0.675,0.675,0.7074999999999999,0.705754148715845,0.713154914139569,0.7074999999999999,0.7074999999999999,0.465,0.4571811438510621,0.46264131437864436,0.465,0.465,0.6849999999999999,0.6847394905943023,0.6857132856055148,0.6849999999999999,0.685,0.6425,0.6420705156384081,0.6431036906325739,0.6425,0.6425,0.655,0.6540859404848312,0.656778649568096,0.655,0.655,0.6900000000000001,0.6894935492767127,0.6913645034820066,0.6900000000000001,0.6900000000000001
Blobs_d2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Blobs_d5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Blobs_d10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XOR,1.0,0.8619999999999999,1.0,0.8588188164587098,1.0,0.8728441854636297,1.0,0.8619999999999999,1.0,0.8619999999999999,0.475,0.47259440091414023,0.47508394066011916,0.475,0.475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9925,0.992498827941866,0.9926829268292682,0.9925,0.9925,1.0,1.0,1.0,1.0,1.0,0.7074999999999999,0.6800889452907848,0.8154761904761905,0.7074999999999999,0.7074999999999999,0.9925,0.992498827941866,0.9926829268292684,0.9925,0.9925,0.9949999999999999,0.9949968730456537,0.9952380952380953,0.9949999999999999,0.9949999999999999,0.4575,0.4555102894527874,0.45727777460335595,0.4575,0.4575,1.0,1.0,1.0,1.0,1.0
