param_value,param_label,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID,F1_std,F1v_std,F2_std,F3_std,F4_std,IN_std,Raug_std,deg_overlap_std,N3_std,SI_std,N4_std,kDN_std,D3_std,CM_std,Borderline_std,N1_std,T1_std,Clust_std,N2_std,ONB_std,LSCAvg_std,DBC_std,NSG_std,ICSV_std,MRCA_std,C1_std,Purity_std,C2_std,NeighbourhoodSeparability_std,IR_std,Silhouette_std,Bhattacharyya_std,Wasserstein_std,SVM_SVR_std,TwoNN_ID_std
Gaussian,Gaussian,0.16502307690873663,0.04442048704228177,0.04815627326210523,0.183,0.019,0.26949999999999996,0.005,0.03,0.008,0.992,0.003,0.011200000000000002,0.5,0.005,0.015,0.018,0.807,0.017,0.08413502689471072,0.017,0.6344449999999999,0.8266666666666665,64.66666666666667,13.441648364211883,0.13120774341518418,0.00854,0.09273051697111225,0.04627800095337082,0.029027815863627217,1.0,0.6080303996534283,0.25690369044614403,1.6932971860329933,0.10899999999999999,2.015843463297755,0.0077379719063145015,0.0032220156362807346,0.016038079209880676,0.038548670534792766,0.024576411454889015,0.05402314318882232,0.0031622776601683794,0.01224744871391589,0.00812403840463596,0.008124038404635967,0.004,0.004791659420284375,0.31622776601683794,0.0031622776601683794,0.0031622776601683794,0.009797958971132711,0.04226109321823087,0.005099019513592785,0.008197426422399548,0.005099019513592785,0.020356537033591963,0.14966629547095767,20.396078054371138,2.345873623930669,0.019511855768337742,0.005636287194007535,0.0017179596263169937,0.006436341274705804,8.000838737312916e-05,0.0,0.010602371730317193,0.021889551312667937,0.013466921892484269,0.011575836902790224,0.16760953800759734
Moons,Moons,0.3808680233552149,0.1152977358458461,0.1205635179199078,0.382,0.193,0.4625,0.001,0.009999999999999998,0.0,1.0,0.153,0.0024000000000000002,0.1,0.001,0.001,0.01,0.8880000000000001,0.044000000000000004,0.09806285961714792,0.038000000000000006,0.8396249999999998,0.6607142857142858,26.428571428571427,9.412328903275855,0.22336395205082943,0.0015799999999999998,0.10701734132621965,0.035286350029411696,0.029086528544466382,1.0,0.32718245543024943,0.4785498746414499,1.342548908144669,0.185,2.033929049268566,0.020206187746456262,0.013318155281437637,0.006537830282785316,0.0317175030543074,0.028390139133156786,0.021035683967962623,0.002,0.004472135954999579,0.0,0.0,0.013638181696985857,0.0014966629547095765,0.2,0.002,0.002,0.0,0.039949968710876395,0.004898979485566357,0.00707495327952626,0.0024494897427831766,0.008305239310218563,0.14374722712498647,1.7496355305594138,1.8663287914733566,0.018521142080015072,0.0008986038553717033,0.004448092968148237,0.0012928268255423927,6.951623858560699e-05,0.0,0.01752274147795451,0.018434671170676962,0.03168781861533037,0.02,0.19555357017520664
Circles,Circles,0.9947950236382054,0.9799026540686624,0.6746984294417799,0.82,0.655,0.8274999999999999,0.064,0.475,0.048,0.952,0.29700000000000004,0.15299999999999994,6.4,0.064,0.21100000000000002,0.19899999999999998,0.959,0.173,0.2548070969630524,0.17,0.9702,0.7477167350193665,5.907609933925724,2.142956060199885,0.32528647806507205,0.09626666666666668,0.17587988737335253,0.13006563099413504,0.02637648271084376,1.0,0.017827618766894694,0.8544417121449162,0.24571796057869805,0.6519999999999999,1.8552044542525237,0.003257884442340411,0.012415969495025088,0.02198231865678501,0.012649110640673493,0.016431676725154998,0.008215838362577506,0.005830951894845304,0.036331804249169916,0.016,0.015999999999999962,0.01777638883463118,0.00914330356052996,0.5830951894845301,0.005830951894845304,0.027459060435491962,0.010198039027185567,0.0037416573867739447,0.0092736184954957,0.005021923403105332,0.011401754250991379,0.0012950868696732464,0.040764945713024116,0.3769780933120666,0.577873174992447,0.006982659764159219,0.006995244416347749,0.008690086978032046,0.007023147451763308,0.00012467217367537453,0.0,0.002742498344112796,0.01188692492801756,0.022016198376565856,0.014696938456699083,0.1140344665810728
Blobs,Blobs,0.03386220834148346,0.005344391737460378,0.0,0.0,0.0,0.0041876046901172526,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.020100502512562814,0.9819095477386934,0.01507537688442211,0.026275608973017284,0.015076134479119555,0.6666649832074948,1.0,66.33333333333333,16.407800380747943,0.024201117605429614,0.0,0.09448827889564143,0.019895152168450288,0.024419642713618038,1.0151515151515151,0.8493029708002426,0.00969541948517021,1.5991060600881997,0.0814070351758794,1.7813609968099002,0.002477663317930372,0.000534773443010921,0.0,0.0,0.0,0.0029964059999997186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01608040201005024,0.0,0.0008063168914813261,0.0,3.0302265094306335e-05,0.0,0.0,2.458364722329732,0.0038519093290073437,0.0,0.0015228524408201292,0.0007026567186218652,5.090730270355788e-05,0.0,0.007096399498456228,0.005814928596951563,0.0013651615745557102,0.010730731911589261,0.14986788168269674
XOR,XOR,0.9957706160104841,0.9835264604414931,0.8136660571248265,0.9730000000000001,0.9579999999999999,0.9775,0.0,0.0,0.0,1.0,0.24299999999999997,0.0,0.0,0.0,0.0,0.03,0.7529999999999999,0.02,0.04319760192774954,0.02,0.74976,1.0,50.0,5.0209870572741515,0.0907758644393255,0.0,0.091765462420838,0.029531348242725897,0.02932191981923956,1.0,0.20289674236342786,0.9671758539803459,0.09895491288576175,0.07300000000000001,2.1471513699407523,0.0030569648090620844,0.011845088706223644,0.04708057714990598,0.008124038404635967,0.008124038404635969,0.00474341649025255,0.0,0.0,0.0,0.0,0.0276767050061961,0.0,0.0,0.0,0.0,0.0,0.07420242583635658,0.0,0.0019099598744525042,0.0,0.0004595106092354942,0.0,0.0,1.216900775740464,0.008798774006246558,0.0,0.00018380613907365007,0.0009233299600949098,6.118155710227422e-05,0.0,0.002515665269821096,0.006573534834107233,0.02756010027500536,0.006782329983125268,0.12085082021433778
Iris,Iris,0.8590000170949438,0.4102293863679617,0.02385517441114109,0.376,0.018666666666666668,0.5206666666666667,0.031999999999999994,0.168,0.034666666666666665,0.9653333333333333,0.22666666666666666,0.053866666666666674,1.2,0.032,0.05600000000000001,0.10666666666666666,0.9253333333333333,0.10666666666666666,0.1990335792354751,0.11399999999999999,0.8011022222222224,0.7206349206349205,9.642857142857142,72.9051176558611,0.1303647879075768,0.044284444444444446,0.12920299812918382,0.16123383336732303,0.033438355462531336,2.0,0.1170085724857151,0.4788457214036116,0.8541969638585073,0.5333333333333334,2.9191625208934253,0.03279246574055386,0.07009988395277579,0.006304808401052949,0.017688665548562132,0.037333333333333336,0.02453115932396546,0.023247461032216924,0.04096611065529925,0.01359738536958076,0.013597385369580783,0.03771236166328254,0.014933333333333335,0.6782329983125268,0.018086213288334048,0.013063945294843617,0.018856180831641266,0.028720878971384017,0.01686548085423135,0.00789558346696183,0.019595917942265426,0.009024669618794655,0.11115645333340694,1.7003401020340116,54.047429807124026,0.024563100606037835,0.015154359027384308,0.0038459081244154258,0.013531192061854297,0.00043155813651675414,0.0,0.025119705980146775,0.02963879047791781,0.049436013629672454,0.018856180831641263,0.3972108261332976
Wine,Wine,0.6094905291486375,0.030552416574767906,3.1699293101836404e-05,0.20454545454545453,0.0,0.6232517482517482,0.01132644386589448,0.11136363636363636,0.022727272727272728,0.9772727272727273,0.015909090909090907,0.04090909090909091,0.7,0.01590909090909091,0.0590909090909091,0.06818181818181819,0.9931818181818184,0.09318181818181819,0.3435317243490891,0.07831677381648158,0.7686983471074381,0.2844444444444444,11.537777777777778,2084.260463035816,0.04311121313326901,0.03473484848484848,0.10814183602198986,0.5119939624409796,0.04212931804195332,2.0344827586206895,0.5625424918679647,0.6392724389531657,1.013069470909567,0.3,2.2778716616549377,0.017560858319469262,0.001756709981346396,1.806311315983942e-05,0.058828086843385384,0.0,0.007876839388859325,0.009625970427333286,0.018181818181818177,0.01016394535227177,0.010163945352271763,0.01700753357624519,0.004312196809320519,0.4,0.00909090909090909,0.008503766788122591,0.019015000603047172,0.0055670221426890355,0.015075567228888182,0.005817476612600889,0.016517405571864926,0.009122038293471054,0.06028737762778015,2.579554942951148,833.576607108884,0.010738009079476103,0.005597915868901426,0.0007020009272651025,0.019692119423439364,0.0010854023791321455,0.0,0.03252390387946859,0.014380120533159442,0.02538682753935316,0.02650432679475136,0.23613503278069592
Breast Cancer,Breast Cancer,0.6053041979779616,0.0620397767684754,4.5240769813257916e-10,0.3852112676056338,0.0,0.8070892018779341,0.05561454373900815,0.1830985915492958,0.06197183098591549,0.9380281690140844,0.018309859154929577,0.06957746478873239,5.8,0.040845070422535205,0.06830985915492957,0.0943661971830986,0.9823943661971832,0.10070422535211268,0.3695127187065835,0.09462582149671402,0.8663905971037493,0.6005031055900621,11.240507016333103,5.111915930786254e+33,0.10073840335208888,0.06382159624413146,0.10948286016909665,0.4731651210709818,0.042709164522187607,1.679245283018868,0.5152310578387274,0.7346614880978071,1.0113375325761538,0.28661971830985916,3.173132219976899,0.011584201987507245,0.001740130676406381,8.179291890792677e-10,0.03285043321039607,0.0,0.010411691266979784,0.009162898703019597,0.02429322297276104,0.010586828435473879,0.010586828435473865,0.004671302521627323,0.01059057532231406,1.0295630140987,0.007250443761258451,0.017898964826956108,0.01855202798918238,0.0054549061214188895,0.006899971106431488,0.0035219199157285968,0.00823177993275506,0.010068514478888057,0.1347918853288952,0.8146139914288655,1.0191066928689456e+34,0.01778345053758852,0.008985327392806886,0.001044407684015923,0.021124392454473256,0.00036935111180268237,0.0,0.009367081787785026,0.006110659200989352,0.019415287120556835,0.009073308962482471,0.18415151113063477
Diabetes,Diabetes,0.8629374698142366,0.26747461260929495,0.04903694129036957,0.7083636363636364,0.48,0.7725454545454545,0.8880727272727272,0.3170909090909091,0.136,0.8640000000000001,0.08,0.13556363636363633,13.3,0.09672727272727273,0.07854545454545454,0.20363636363636367,0.984,0.19709090909090907,0.38929633366770455,0.48719999999999997,0.9097494214876033,0.8552040444593138,5.24260684237265,1219496.2624433704,0.2361735005020804,0.13799757575757576,0.07333278365806137,0.3398571463693708,0.03981997401132837,10.0,0.1560681647963894,0.8945510896877333,0.5808556490106686,0.23272727272727273,4.196045144253261,0.019421666099362623,0.03670348028315262,0.020238928148438456,0.14931955859334836,0.17897411974134722,0.04145155491605443,0.017613518474678794,0.026363009396933604,0.01117257563326343,0.011172575633263437,0.017665393165805263,0.006643308943516632,0.6782329983125269,0.004932603624091102,0.014288641966827999,0.008907235428302464,0.01848474913038374,0.018456112786108394,0.018058177493524875,0.009516301802696263,0.03480455412365944,0.05427198286971428,0.4076756721656841,1197358.2493728988,0.04587838560438706,0.006470985578858906,0.0005196399523640567,0.006030582329109693,0.00023956926654655192,0.0,0.05258417909716118,0.019455606285868707,0.03881512237984912,0.01102963700952953,0.36497047464622057
Heart Disease,Heart Disease,0.7650792096282542,0.12085982889710896,0.12819157733031633,0.8,0.5056603773584906,0.4543739279588336,0.3716789384874981,0.4886792452830188,0.1830188679245283,0.8169811320754718,0.0849056603773585,0.20528301886792452,8.6,0.16226415094339622,0.1849056603773585,0.2830188679245283,0.9924528301886794,0.23962264150943396,0.36918626802321564,0.32703252032520325,0.883303666785333,0.787169377814539,4.227774101645069,1794672.468727573,0.08369281943131619,0.19671698113207547,0.10434195521763523,0.6281798468280057,0.04093481638142345,3.4166666666666665,0.10157035116153397,0.8666184328380258,0.725066494015219,0.49245283018867925,3.9007657341468005,0.026915536544678428,0.00891851414573894,0.07126010227323434,0.11342745935991805,0.17154253785178428,0.020478579218507657,0.07995342816344901,0.05006226098649659,0.03246160478129294,0.032461604781292924,0.021512743869795056,0.020785568836106275,1.5620499351813308,0.02947264028644021,0.033540356291756945,0.026007639154887206,0.007059730918441398,0.035096368373091075,0.01837264308990576,0.04738497593344435,0.03214621803430063,0.07721911257973127,0.6249414109743614,1567038.0340679209,0.0203194756149551,0.020913435422702378,0.0006906849565757215,0.020925066849704736,0.0004695448906016825,0.0,0.03860011419078497,0.015456881251588044,0.05330315086187435,0.0269487865228032,0.2254946348184793
Habermans,Habermans,0.9518488566881478,0.7159417835896581,0.519795673680591,0.9184210526315789,0.9118421052631579,0.7574561403508773,0.652781954887218,0.7697368421052632,0.3328947368421053,0.6671052631578946,0.2736842105263158,0.3618421052631578,24.0,0.3157894736842105,0.3263157894736842,0.5118421052631579,0.9342105263157896,0.43815789473684214,0.4381580505013053,0.5287499999999999,0.9757444598337951,0.9219485903814262,2.3522234067756456,,0.3094117222240256,0.35092105263157897,0.07447428347315486,0.40755115801198627,0.03084128818175021,2.8,0.046208114814009896,0.9150657481216626,0.33060098841440017,0.5592105263157895,2.4880535032482785,0.018843093161091118,0.10406514975566894,0.09075442102235738,0.03872089202516356,0.038720892025163586,0.018535567200978462,0.0361903666279696,0.027284791254378573,0.04569409303732984,0.04569409303732984,0.030462728691553222,0.009039770545956654,1.1832159566199232,0.015568631008156891,0.034462633825549455,0.028947368421052642,0.015568631008156867,0.026183879923858403,0.014296302421848369,0.03406176862161816,0.0033924904568524497,0.02760126973491715,0.1238119293634654,,0.02932867841669763,0.01879127241705617,0.0011687123548500575,0.01721884399180778,0.00035142999727985256,0.0,0.03774800171018462,0.018367760825914528,0.05518098957767705,0.013800116423291459,0.3089988311396531
Banknote,Banknote,0.731084213526514,0.03779707389958821,0.14020133485817352,0.6262390670553935,0.2623906705539359,0.8365160349854228,0.0016337243558840861,0.010787172011661806,0.0014577259475218659,0.9985422740524781,0.06618075801749271,0.004256559766763849,0.7,0.0020408163265306124,0.004373177842565598,0.005830903790087464,0.8804664723032071,0.031778425655976675,0.12427145575779193,0.030566670969407517,0.9115045601747571,0.6180827067669173,33.19105263157894,234.33496998502483,0.19414454181846474,0.0026734693877551027,0.11289611194032065,0.04720250515184197,0.030632800576651888,1.2491803278688525,0.18276229618189166,0.7940309524011402,0.7084038817464445,0.10903790087463558,2.391530852414271,0.0046982430916542636,0.002072547937828914,0.014737988559539533,0.04427841065879359,0.062488683537206095,0.010432165609483561,0.0015829225261535219,0.004664723032069971,0.000921946839699236,0.000921946839699232,0.0091081628873547,0.0015818845441691592,0.6782329983125268,0.0019773556802114484,0.0033241266037875744,0.001843893679398472,0.024600610040500296,0.001090862211887447,0.004465670609566478,0.0024926457697192817,0.0021967675813427522,0.11764928394000279,2.547870063216245,67.45579145340912,0.004280279476536694,0.0010750487004027268,0.0017228165047792996,0.001331107587230489,2.5194910680689963e-05,0.0,0.005181056258432648,0.004215355854007228,0.010614464618353189,0.0031128508023414883,0.0931494164346695
Ionosphere,Ionosphere,0.9167368628405471,0.11105718983465067,0.0,0.8160000000000001,0.0,0.7544873949579831,0.2962222222222222,0.35085714285714287,0.14857142857142858,0.8514285714285714,0.14057142857142857,0.19291428571428568,15.4,0.176,0.13028571428571428,0.26857142857142857,0.9897142857142857,0.272,0.3917922510673393,0.3331349206349206,0.8916310204081632,0.6954754330151997,3.8225417420414614,8.739357572308759e+41,0.1181456767830477,0.1734780952380952,0.1058278410729188,0.6169315653385546,0.03908660621234192,1.777777777777778,0.14664949695897295,,0.5291822933390686,0.46171428571428574,7.443995172581447,0.004758841682817311,0.018988001104552822,0.0,0.009831228876620147,0.0,0.004477532989673065,0.028867779659058304,0.03885714285714286,0.02369879011808882,0.02369879011808885,0.03515098628395359,0.01890936491880816,1.7435595774162693,0.01992639517047166,0.026161195753736217,0.03087829962538582,0.006663945022680344,0.02274256999100846,0.0077977229214293885,0.026483821960751393,0.014581548329542967,0.038512486467312416,0.2655937855458361,1.4448212701580055e+42,0.03462472139190849,0.02099781256289103,0.0004544834566583471,0.01615046601758022,0.0004891056171968174,2.220446049250313e-16,0.005271468208772811,,0.00512714765065507,0.019259770910117404,0.23887436212949953
Sonar,Sonar,0.9171531831620147,0.05992516894710802,5.897203627313134e-07,0.8640776699029125,0.0,0.9461812297734629,0.28825904677846426,0.7165048543689321,0.19223300970873786,0.8077669902912621,0.06990291262135921,0.32155339805825245,14.1,0.2737864077669903,0.39029126213592236,0.4116504854368932,1.0,0.32427184466019415,0.447184116252349,0.3233712121212121,0.9564897728343859,0.6979380649013575,3.1999243989232866,1.7208213883443076e+46,,,,,,1.1458333333333333,0.03000686883884741,0.913080178859204,0.40678877133213354,0.8310679611650486,5.7300825074487545,0.0080472164447565,0.010056300016865881,6.583536140315115e-07,0.013730228760903861,0.0,0.0014709796993350838,0.054051282314662386,0.038050326101486245,0.03154966370732413,0.0315496637073241,0.012880096273224853,0.02279714193621619,2.727636339397171,0.05296381241547905,0.02486650189294309,0.046195639818913864,0.0,0.043678531569716475,0.008317217431466994,0.0485026896625284,0.0031379242916011784,0.09295280981386513,0.40683841868828174,2.2764835527520004e+46,,,,,,0.0,0.004695321298701258,0.0024035706002701455,0.015292787785465653,0.0257601925464497,0.7657377292525408
